Category,Language,Level
data science,english,Intermediate
art humanity,english,Intermediate
data science,english,Intermediate
computer science,english,Intermediate
physical science engineering,english,Advanced
data science,english,Beginner
art humanity,english,Advanced
art humanity,english,Beginner
information technology,english,Advanced
information technology,english,Beginner
data science,english,Beginner
data science,english,Beginner
art humanity,english,Beginner
language learning,english,Intermediate
business,english,Intermediate
art humanity,english,Beginner
data science,english,Intermediate
computer science,english,Advanced
art humanity,english,Advanced
data science,english,Advanced
computer science,english,Intermediate
physical science engineering,english,Advanced
business,english,Beginner
data science,english,Intermediate
computer science,english,Intermediate
business,english,Beginner
information technology,english,Intermediate
health,english,Advanced
information technology,english,Advanced
business,spanish,Beginner
business,english,Beginner
computer science,english,Intermediate
art humanity,english,Beginner
business,english,Intermediate
business,english,Beginner
health,english,Intermediate
data science,english,Beginner
business,english,Advanced
social science,english,Beginner
business,english,Advanced
business,english,Intermediate
business,english,Intermediate
business,english,Intermediate
business,spanish,Advanced
data science,english,Advanced
business,english,Advanced
computer science,english,Beginner
data science,english,Advanced
computer science,english,Beginner
business,english,Beginner
computer science,english,Advanced
business,english,Beginner
computer science,english,Advanced
business,english,Intermediate
business,english,Intermediate
physical science engineering,english,Intermediate
business,english,Intermediate
health,english,Intermediate
business,english,Advanced
business,english,Intermediate
physical science engineering,english,Advanced
health,english,Beginner
information technology,japanese,Advanced
information technology,english,Intermediate
health,english,Intermediate
data science,english,Beginner
business,english,Beginner
data science,english,Intermediate
computer science,english,Intermediate
art humanity,english,Beginner
health,english,Beginner
health,english,Advanced
information technology,english,Advanced
business,english,Advanced
physical science engineering,english,Beginner
art humanity,english,Beginner
business,english,Beginner
health,english,Intermediate
personal development,english,Beginner
information technology,english,Beginner
information technology,english,Beginner
business,english,Advanced
computer science,english,Advanced
information technology,english,Beginner
computer science,english,Beginner
business,english,Advanced
language learning,english,Advanced
business,english,Intermediate
computer science,english,Advanced
computer science,english,Advanced
health,english,Intermediate
health,english,Advanced
math logic,english,Beginner
art humanity,english,Beginner
computer science,english,Beginner
health,english,Intermediate
health,english,Intermediate
math logic,english,Beginner
data science,english,Beginner
business,english,Beginner
information technology,english,Advanced
business,english,Advanced
computer science,english,Advanced
business,english,Intermediate
data science,english,Advanced
business,english,Advanced
data science,english,Advanced
computer science,english,Advanced
art humanity,english,Beginner
data science,english,Beginner
physical science engineering,english,Beginner
data science,english,Beginner
business,english,Beginner
math logic,english,Intermediate
health,english,Intermediate
data science,english,Advanced
computer science,spanish,Advanced
business,english,Beginner
physical science engineering,english,Intermediate
business,english,Intermediate
physical science engineering,english,Beginner
business,english,Intermediate
social science,english,Intermediate
business,english,Intermediate
business,english,Advanced
computer science,english,Intermediate
physical science engineering,english,Advanced
business,english,Beginner
computer science,english,Intermediate
information technology,english,Intermediate
business,english,Beginner
computer science,english,Advanced
physical science engineering,english,Advanced
business,english,Intermediate
personal development,english,Intermediate
information technology,english,Advanced
business,english,Advanced
data science,english,Beginner
business,english,Intermediate
social science,english,Advanced
data science,english,Advanced
computer science,english,Intermediate
language learning,english,Intermediate
computer science,english,Beginner
personal development,english,Beginner
data science,english,Intermediate
business,english,Intermediate
health,english,Intermediate
health,english,Intermediate
business,english,Intermediate
business,english,Advanced
health,english,Beginner
business,english,Beginner
business,english,Intermediate
data science,english,Intermediate
business,english,Beginner
computer science,english,Advanced
health,english,Beginner
data science,english,Intermediate
computer science,english,Beginner
art humanity,english,Beginner
data science,english,Beginner
physical science engineering,english,Advanced
physical science engineering,english,Intermediate
business,english,Beginner
art humanity,english,Intermediate
physical science engineering,english,Advanced
business,english,Beginner
information technology,english,Advanced
computer science,english,Beginner
social science,english,Beginner
health,english,Advanced
language learning,english,Intermediate
computer science,english,Intermediate
art humanity,english,Intermediate
business,spanish,Beginner
computer science,english,Intermediate
,,Beginner
,,Beginner
,,Beginner
,,Beginner
,,Advanced
,,Intermediate
,,Advanced
,,Beginner
,,Intermediate
,,Beginner
,,Intermediate
,,Beginner
,,Advanced
,,Beginner
,,Intermediate
,,Advanced
,,Intermediate
,,Beginner
,,Advanced
,,Beginner
,,Beginner
,,Beginner
,,Intermediate
,,Beginner
,,Intermediate
,,Intermediate
,,Advanced
,,Intermediate
,,Intermediate
,,Advanced
,,Intermediate
,,Beginner
,,Beginner
,,Beginner
,,Beginner
,,Beginner
,,Beginner
,,Intermediate
,,Intermediate
,,Beginner
,,Advanced
,,Intermediate
,,Beginner
,,Intermediate
,,Advanced
,,Intermediate
,,Beginner
,,Intermediate
,,Intermediate
,,Intermediate
,,Intermediate
,,Intermediate
,,Advanced
,,Intermediate
,,Beginner
,,Beginner
,,Intermediate
,,Advanced
,,Intermediate
,,Intermediate
,,Beginner
,,Advanced
,,Intermediate
,,Advanced
,,Intermediate
,,Advanced
,,Beginner
,,Beginner
,,Intermediate
,,Advanced
,,Beginner
,,Intermediate
,,Advanced
,,Beginner
,,Beginner
,,Beginner
,,Intermediate
,,Advanced
,,Beginner
,,Advanced
,,Intermediate
,,Advanced
,,Beginner
,,Beginner
,,Advanced
,,Advanced
,,Intermediate
,,Beginner
,,Beginner
,,Intermediate
,,Advanced
,,Intermediate
,,Advanced
,,Advanced
,,Intermediate
,,Intermediate
,,Advanced
,,Advanced
,,Beginner
,,Advanced
,,Advanced
,,Beginner
,,Intermediate
,,Beginner
,,Intermediate
,,Advanced
,,Beginner
,,Intermediate
,,Intermediate
,,Beginner
,,Advanced
,,Intermediate
,,Intermediate
,,Intermediate
,,Beginner
,,Advanced
,,Intermediate
,,Beginner
,,Intermediate
,,Beginner
,,Beginner
,,Advanced
,,Beginner
,,Intermediate
,,Advanced
,,Intermediate
,,Advanced
,,Beginner
,,Advanced
,,Advanced
,,Beginner
,,Advanced
,,Advanced
,,Advanced
,,Advanced
,,Beginner
,,Intermediate
,,Intermediate
,,Advanced
,,Intermediate
,,Intermediate
,,Intermediate
,,Beginner
,,Beginner
,,Beginner
,,Advanced
,,Advanced
,,Advanced
,,Beginner
,,Intermediate
,,Beginner
,,Beginner
,,Advanced
,,Advanced
,,Beginner
,,Advanced
,,Advanced
,,Advanced
,,Intermediate
,,Advanced
,,Beginner
,,Beginner
,,Advanced
,,Intermediate
,,Beginner
,,Intermediate
,,Intermediate
,,Intermediate
,,Beginner
,,Beginner
,,Advanced
,,Advanced
,,Intermediate
,,Advanced
,,Beginner
,,Intermediate
,,Intermediate
,,Intermediate
,,Advanced
,,Beginner
,,Advanced
,,Advanced
,,Beginner
,,Advanced
,,Beginner
,,Intermediate
,,Intermediate
,,Intermediate
,,Intermediate
,,Advanced
,,Intermediate
,,Intermediate
,,Beginner
,,Beginner
,,Advanced
,,Intermediate
,,Beginner
,,Advanced
,,Advanced
,,Advanced
,,Intermediate
,,Advanced
,,Intermediate
,,Advanced
,,Advanced
,,Advanced
,,Intermediate
,,Advanced
,,Beginner
,,Advanced
,,Beginner
,,Advanced
,,Beginner
,,Advanced
,,Advanced
,,Intermediate
,,Beginner
,,Beginner
,,Beginner
,,Intermediate
,,Intermediate
,,Advanced
,,Advanced
,,Intermediate
,,Advanced
,,Advanced
,,Intermediate
,,Beginner
,,Advanced
,,Intermediate
,,Advanced
,,Intermediate
,,Advanced
,,Beginner
,,Beginner
,,Beginner
,,Intermediate
,,Advanced
,,Beginner
,,Advanced
,,Beginner
,,Intermediate
,,Intermediate
,,Advanced
,,Intermediate
,,Intermediate
,,Intermediate
,,Beginner
,,Beginner
,,Advanced
,,Advanced
,,Beginner
,,Beginner
,,Beginner
,,Beginner
,,Intermediate
,,Beginner
,,Advanced
,,Beginner
,,Beginner
,,Beginner
,,Advanced
,,Beginner
,,Intermediate
,,Intermediate
,,Advanced
,,Intermediate
,,Beginner
,,Advanced
,,Advanced
,,Advanced
,,Beginner
,,Beginner
,,Beginner
,,Advanced
,,Beginner
,,Intermediate
,,Advanced
,,Beginner
,,Beginner
,,Beginner
,,Beginner
,,Advanced
,,Advanced
,,Intermediate
,,Advanced
,,Intermediate
,,Advanced
,,Advanced
,,Beginner
,,Advanced
,,Beginner
,,Beginner
,,Intermediate
,,Beginner
,,Beginner
,,Intermediate
,,Intermediate
,,Beginner
,,Advanced
,,Intermediate
,,Advanced
,,Advanced
,,Intermediate
,,Advanced
,,Intermediate
,,Advanced
,,Advanced
,,Advanced
,,Intermediate
,,Beginner
,,Intermediate
,,Beginner
,,Intermediate
,,Intermediate
,,Intermediate
,,Intermediate
,,Beginner
,,Beginner
,,Intermediate
,,Advanced
,,Intermediate
,,Beginner
,,Beginner
,,Advanced
,,Beginner
,,Beginner
,,Intermediate
,,Intermediate
,,Intermediate
,,Advanced
,,Beginner
,,Beginner
,,Advanced
,,Advanced
,,Beginner
,,Beginner
,,Advanced
,,Beginner
,,Advanced
,,Advanced
,,Intermediate
,,Advanced
,,Intermediate
,,Beginner
,,Intermediate
,,Intermediate
,,Intermediate
,,Beginner
,,Advanced
,,Advanced
,,Advanced
,,Beginner
,,Advanced
,,Beginner
,,Beginner
,,Intermediate
,,Intermediate
,,Advanced
,,Intermediate
,,Beginner
,,Intermediate
,,Beginner
,,Intermediate
,,Beginner
,,Advanced
,,Beginner
,,Beginner
,,Beginner
,,Beginner
,,Advanced
,,Intermediate
,,Beginner
,,Beginner
,,Advanced
,,Advanced
,,Advanced
,,Intermediate
,,Advanced
,,Advanced
,,Beginner
,,Advanced
,,Beginner
,,Intermediate
,,Beginner
,,Beginner
,,Beginner
,,Beginner
,,Beginner
,,Advanced
,,Intermediate
,,Intermediate
,,Advanced
,,Beginner
,,Advanced
,,Advanced
,,Advanced
,,Beginner
,,Intermediate
,,Advanced
,,Advanced
,,Intermediate
,,Intermediate
,,Intermediate
,,Intermediate
,,Advanced
,,Beginner
,,Advanced
,,Intermediate
,,Advanced
,,Intermediate
,,Advanced
,,Intermediate
,,Advanced
,,Beginner
,,Intermediate
,,Advanced
,,Advanced
,,Beginner
,,Intermediate
,,Intermediate
,,Advanced
,,Beginner
,,Advanced
,,Beginner
,,Beginner
,,Advanced
,,Advanced
,,Advanced
,,Intermediate
,,Beginner
,,Beginner
,,Intermediate
,,Advanced
,,Intermediate
,,Intermediate
,,Intermediate
,,Intermediate
,,Beginner
,,Beginner
,,Advanced
,,Beginner
,,Advanced
,,Advanced
,,Advanced
,,Intermediate
,,Beginner
,,Intermediate
,,Intermediate
,,Advanced
,,Intermediate
,,Advanced
,,Beginner
,,Beginner
,,Advanced
,,Advanced
,,Beginner
,,Advanced
,,Advanced
,,Intermediate
,,Advanced
,,Beginner
,,Beginner
,,Beginner
,,Advanced
,,Beginner
,,Advanced
,,Beginner
,,Beginner
,,Intermediate
,,Advanced
,,Beginner
,,Intermediate
,,Intermediate
,,Intermediate
,,Intermediate
,,Beginner
,,Advanced
,,Intermediate
,,Intermediate
,,Advanced
,,Intermediate
,,Intermediate
,,Intermediate
,,Advanced
,,Advanced
,,Intermediate
,,Intermediate
,,Intermediate
,,Beginner
,,Advanced
,,Advanced
,,Advanced
,,Beginner
,,Advanced
,,Intermediate
,,Advanced
,,Beginner
,,Beginner
,,Intermediate
,,Beginner
,,Intermediate
,,Beginner
,,Beginner
,,Beginner
,,Advanced
,,Advanced
,,Beginner
,,Intermediate
,,Beginner
,,Beginner
,,Beginner
,,Advanced
,,Beginner
,,Beginner
,,Beginner
,,Advanced
,,Beginner
,,Advanced
,,Intermediate
,,Beginner
,,Beginner
,,Beginner
,,Advanced
,,Beginner
,,Beginner
,,Intermediate
,,Beginner
,,Advanced
,,Intermediate
,,Advanced
,,Advanced
,,Advanced
,,Advanced
,,Beginner
,,Advanced
,,Intermediate
,,Advanced
,,Intermediate
,,Intermediate
,,Advanced
,,Intermediate
,,Beginner
,,Beginner
,,Advanced
,,Advanced
,,Advanced
,,Beginner
,,Intermediate
,,Intermediate
,,Beginner
,,Intermediate
,,Intermediate
,,Advanced
,,Intermediate
,,Advanced
,,Intermediate
,,Beginner
,,Intermediate
,,Advanced
,,Advanced
,,Intermediate
,,Advanced
,,Advanced
,,Beginner
,,Beginner
,,Intermediate
,,Advanced
,,Advanced
,,Beginner
,,Beginner
,,Beginner
,,Advanced
,,Advanced
,,Intermediate
,,Advanced
,,Intermediate
,,Advanced
,,Advanced
,,Beginner
,,Advanced
,,Beginner
,,Advanced
,,Intermediate
,,Advanced
,,Beginner
,,Beginner
,,Advanced
,,Advanced
,,Advanced
,,Beginner
,,Beginner
,,Advanced
,,Intermediate
,,Beginner
,,Beginner
,,Advanced
,,Beginner
,,Beginner
,,Beginner
,,Advanced
,,Beginner
,,Beginner
,,Advanced
,,Advanced
,,Beginner
,,Intermediate
,,Intermediate
,,Advanced
,,Intermediate
,,Advanced
,,Intermediate
,,Advanced
,,Beginner
,,Beginner
,,Intermediate
,,Intermediate
,,Advanced
,,Intermediate
,,Intermediate
,,Advanced
,,Advanced
,,Intermediate
,,Advanced
,,Intermediate
,,Beginner
,,Beginner
,,Advanced
,,Advanced
,,Advanced
,,Advanced
,,Intermediate
,,Intermediate
,,Advanced
,,Intermediate
,,Advanced
,,Intermediate
,,Advanced
,,Advanced
,,Beginner
,,Advanced
,,Intermediate
,,Advanced
,,Beginner
,,Intermediate
,,Intermediate
,,Advanced
,,Advanced
,,Advanced
,,Advanced
,,Advanced
,,Intermediate
,,Advanced
,,Beginner
,,Intermediate
,,Beginner
,,Intermediate
,,Intermediate
,,Intermediate
,,Advanced
,,Beginner
,,Beginner
,,Beginner
,,Intermediate
,,Advanced
,,Advanced
,,Beginner
,,Intermediate
,,Intermediate
,,Beginner
,,Beginner
,,Advanced
,,Advanced
,,Intermediate
,,Beginner
,,Intermediate
,,Intermediate
,,Beginner
,,Intermediate
,,Advanced
,,Beginner
,,Advanced
,,Intermediate
,,Advanced
,,Intermediate
,,Advanced
,,Advanced
,,Beginner
,,Intermediate
,,Intermediate
,,Advanced
,,Intermediate
,,Intermediate
,,Intermediate
,,Intermediate
,,Beginner
,,Beginner
,,Intermediate
,,Beginner
,,Intermediate
,,Beginner
,,Advanced
,,Beginner
,,Advanced
,,Beginner
,,Beginner
,,Intermediate
,,Beginner
,,Advanced
,,Intermediate
,,Beginner
,,Beginner
,,Beginner
,,Intermediate
,,Intermediate
,,Beginner
,,Advanced
,,Intermediate
,,Advanced
,,Intermediate
,,Advanced
,,Advanced
,,Intermediate
,,Beginner
,,Advanced
,,Beginner
,,Beginner
,,Advanced
,,Beginner
,,Beginner
,,Intermediate
,,Advanced
,,Beginner
,,Intermediate
,,Beginner
,,Intermediate
,,Advanced
,,Intermediate
,,Advanced
,,Intermediate
,,Advanced
,,Beginner
,,Intermediate
,,Intermediate
,,Intermediate
,,Advanced
,,Advanced
,,Advanced
,,Intermediate
,,Intermediate
,,Beginner
,,Beginner
,,Intermediate
,,Intermediate
,,Advanced
,,Beginner
,,Intermediate
,,Intermediate
,,Intermediate
,,Advanced
,,Intermediate
,,Intermediate
,,Advanced
,,Intermediate
,,Intermediate
,,Advanced
,,Advanced
,,Advanced
,,Beginner
,,Beginner
,,Intermediate
,,Beginner
,,Advanced
,,Advanced
,,Advanced
,,Advanced
,,Intermediate
,,Intermediate
,,Intermediate
,,Intermediate
,,Beginner
,,Advanced
,,Intermediate
,,Intermediate
,,Beginner
,,Intermediate
,,Beginner
,,Advanced
,,Beginner
,,Intermediate
,,Beginner
,,Beginner
,,Intermediate
,,Beginner
,,Intermediate
,,Advanced
,,Intermediate
,,Beginner
,,Advanced
,,Advanced
,,Beginner
,,Intermediate
,,Beginner
,,Beginner
,,Beginner
,,Advanced
,,Intermediate
,,Beginner
,,Beginner
,,Advanced
,,Intermediate
,,Intermediate
,,Beginner
,,Intermediate
,,Advanced
,,Intermediate
,,Advanced
,,Advanced
,,Intermediate
,,Beginner
,,Advanced
,,Advanced
,,Advanced
,,Beginner
,,Beginner
,,Intermediate
,,Advanced
,,Beginner
,,Intermediate
,,Beginner
,,Intermediate
,,Advanced
,,Intermediate
,,Advanced
,,Beginner
,,Beginner
,,Beginner
,,Intermediate
,,Advanced
,,Intermediate
,,Intermediate
,,Advanced
,,Beginner
,,Advanced
,,Advanced
,,Advanced
,,Intermediate
,,Advanced
,,Intermediate
,,Advanced
,,Beginner
,,Intermediate
,,Advanced
,,Intermediate
,,Intermediate
,,Advanced
,,Advanced
,,Advanced
,,Advanced
,,Intermediate
,,Intermediate
,,Beginner
,,Advanced
,,Intermediate
,,Advanced
,,Beginner
,,Beginner
,,Intermediate
,,Intermediate
,,Intermediate
,,Advanced
,,Beginner
,,Advanced
,,Intermediate
,,Advanced
,,Advanced
,,Advanced
,,Intermediate
,,Beginner
,,Advanced
,,Beginner
,,Intermediate
,,Intermediate
,,Beginner
,,Beginner
,,Intermediate
,,Intermediate
,,Intermediate
,,Intermediate
,,Beginner
,,Advanced
,,Advanced
,,Intermediate
,,Intermediate
,,Intermediate
,,Beginner
,,Advanced
,,Advanced
,,Intermediate
,,Beginner
,,Beginner
,,Advanced
,,Advanced
,,Beginner
,,Beginner
,,Intermediate
,,Intermediate
,,Advanced
,,Intermediate
,,Intermediate
,,Advanced
,,Advanced
,,Beginner
,,Advanced
,,Intermediate
,,Advanced
,,Beginner
,,Intermediate
,,Beginner
,,Advanced
,,Beginner
,,Beginner
,,Advanced
,,Intermediate
,,Intermediate
,,Advanced
,,Beginner
,,Beginner
,,Intermediate
,,Beginner
,,Intermediate
,,Intermediate
,,Intermediate
,,Advanced
,,Beginner
,,Intermediate
,,Beginner
,,Advanced
,,Advanced
,,Intermediate
,,Beginner
,,Beginner
,,Advanced
,,Beginner
,,Beginner
,,Advanced
,,Beginner
,,Beginner
,,Advanced
,,Beginner
,,Beginner
,,Intermediate
,,Advanced
,,Beginner
,,Beginner
,,Beginner
,,Beginner
,,Advanced
,,Beginner
,,Beginner
,,Intermediate
,,Advanced
,,Intermediate
,,Advanced
,,Intermediate
,,Advanced
,,Advanced
,,Intermediate
,,Intermediate
,,Beginner
,,Advanced
,,Advanced
,,Intermediate
,,Beginner
,,Advanced
,,Intermediate
,,Advanced
,,Beginner
,,Advanced
,,Beginner
,,Advanced
,,Beginner
,,Advanced
,,Advanced
,,Beginner
,,Advanced
,,Intermediate
,,Intermediate
,,Intermediate
,,Beginner
,,Advanced
,,Beginner
,,Advanced
,,Intermediate
,,Intermediate
,,Advanced
,,Beginner
,,Intermediate
,,Beginner
,,Advanced
,,Intermediate
,,Intermediate
,,Beginner
,,Advanced
,,Intermediate
,,Intermediate
,,Intermediate
,,Intermediate
,,Advanced
,,Intermediate
,,Advanced
,,Beginner
,,Advanced
,,Beginner
,,Intermediate
,,Beginner
,,Advanced
,,Beginner
,,Beginner
,,Beginner
,,Beginner
,,Beginner
,,Advanced
,,Beginner
,,Intermediate
,,Advanced
,,Beginner
,,Beginner
,,Intermediate
,,Beginner
,,Intermediate
,,Beginner
,,Advanced
,,Beginner
,,Advanced
,,Intermediate
,,Beginner
,,Beginner
,,Intermediate
,,Advanced
,,Intermediate
,,Intermediate
,,Intermediate
,,Beginner
,,Intermediate
,,Intermediate
,,Beginner
,,Advanced
,,Beginner
,,Intermediate
,,Beginner
,,Advanced
,,Intermediate
,,Advanced
,,Intermediate
,,Advanced
,,Advanced
,,Advanced
,,Advanced
,,Intermediate
,,Beginner
,,Intermediate
,,Intermediate
,,Beginner
,,Advanced
,,Advanced
,,Beginner
,,Intermediate
,,Intermediate
,,Beginner
,,Intermediate
,,Beginner
,,Beginner
,,Advanced
,,Intermediate
,,Intermediate
,,Advanced
,,Intermediate
,,Advanced
,,Beginner
,,Advanced
,,Beginner
,,Advanced
,,Advanced
,,Beginner
,,Advanced
,,Beginner
,,Advanced
,,Intermediate
,,Beginner
,,Intermediate
,,Beginner
,,Beginner
,,Advanced
,,Intermediate
,,Beginner
,,Advanced
,,Advanced
,,Advanced
,,Intermediate
,,Advanced
,,Beginner
,,Beginner
,,Beginner
,,Intermediate
,,Beginner
,,Advanced
,,Advanced
,,Intermediate
,,Advanced
,,Intermediate
,,Intermediate
,,Intermediate
,,Intermediate
,,Advanced
,,Advanced
,,Intermediate
,,Intermediate
,,Beginner
,,Intermediate
,,Beginner
,,Advanced
,,Beginner
,,Beginner
,,Intermediate
,,Intermediate
,,Beginner
,,Intermediate
,,Advanced
,,Intermediate
,,Beginner
,,Advanced
,,Intermediate
,,Intermediate
,,Advanced
,,Intermediate
,,Advanced
,,Intermediate
,,Advanced
,,Intermediate
,,Advanced
,,Intermediate
,,Advanced
,,Beginner
,,Intermediate
,,Advanced
,,Beginner
,,Intermediate
,,Beginner
,,Advanced
,,Intermediate
,,Intermediate
,,Intermediate
,,Advanced
,,Advanced
,,Beginner
,,Intermediate
,,Advanced
,,Beginner
,,Intermediate
,,Beginner
,,Beginner
,,Intermediate
,,Advanced
,,Beginner
,,Intermediate
,,Beginner
,,Advanced
,,Intermediate
,,Beginner
,,Beginner
,,Intermediate
,,Advanced
,,Beginner
,,Advanced
,,Intermediate
,,Advanced
,,Intermediate
,,Advanced
,,Advanced
,,Beginner
,,Advanced
,,Beginner
,,Beginner
,,Beginner
,,Advanced
,,Intermediate
,,Beginner
,,Beginner
,,Advanced
,,Advanced
,,Intermediate
,,Intermediate
,,Advanced
,,Advanced
,,Beginner
,,Advanced
,,Advanced
,,Beginner
,,Intermediate
,,Intermediate
,,Advanced
,,Intermediate
,,Intermediate
,,Intermediate
,,Advanced
,,Intermediate
,,Advanced
,,Beginner
,,Intermediate
,,Advanced
,,Beginner
,,Intermediate
,,Intermediate
,,Advanced
,,Beginner
,,Beginner
,,Beginner
,,Intermediate
,,Beginner
,,Intermediate
,,Beginner
,,Advanced
,,Intermediate
,,Intermediate
,,Beginner
,,Intermediate
,,Beginner
,,Advanced
,,Beginner
,,Intermediate
,,Intermediate
,,Intermediate
,,Beginner
,,Intermediate
,,Intermediate
,,Intermediate
,,Advanced
,,Advanced
,,Intermediate
,,Advanced
,,Beginner
,,Beginner
,,Intermediate
,,Beginner
,,Advanced
,,Advanced
,,Intermediate
,,Beginner
,,Beginner
,,Intermediate
,,Advanced
,,Intermediate
,,Advanced
,,Intermediate
,,Advanced
,,Beginner
,,Advanced
,,Advanced
,,Intermediate
,,Intermediate
,,Intermediate
,,Advanced
,,Beginner
,,Intermediate
,,Intermediate
,,Advanced
,,Beginner
,,Intermediate
,,Beginner
,,Intermediate
,,Intermediate
,,Beginner
,,Beginner
,,Advanced
,,Beginner
,,Beginner
,,Intermediate
,,Intermediate
,,Advanced
,,Advanced
,,Beginner
,,Intermediate
,,Intermediate
,,Beginner
,,Intermediate
,,Advanced
,,Intermediate
,,Beginner
,,Intermediate
,,Advanced
,,Beginner
,,Advanced
,,Advanced
,,Advanced
,,Advanced
,,Beginner
,,Beginner
,,Advanced
,,Beginner
,,Beginner
,,Beginner
,,Intermediate
,,Intermediate
,,Intermediate
,,Beginner
,,Beginner
,,Beginner
,,Advanced
,,Advanced
,,Intermediate
,,Advanced
,,Beginner
,,Beginner
,,Intermediate
,,Advanced
,,Advanced
,,Beginner
,,Beginner
,,Intermediate
,,Intermediate
,,Intermediate
,,Beginner
,,Advanced
,,Advanced
,,Beginner
,,Beginner
,,Beginner
,,Advanced
,,Advanced
,,Beginner
,,Intermediate
,,Advanced
,,Beginner
,,Advanced
,,Beginner
,,Advanced
,,Advanced
,,Intermediate
,,Intermediate
,,Intermediate
,,Advanced
,,Beginner
,,Advanced
,,Beginner
,,Beginner
,,Intermediate
,,Advanced
,,Advanced
,,Beginner
,,Intermediate
,,Beginner
,,Advanced
,,Intermediate
,,Intermediate
,,Advanced
,,Beginner
,,Advanced
,,Intermediate
,,Advanced
,,Beginner
,,Intermediate
,,Advanced
,,Intermediate
,,Beginner
,,Intermediate
,,Beginner
,,Advanced
,,Beginner
,,Beginner
,,Intermediate
,,Intermediate
,,Beginner
,,Advanced
,,Intermediate
,,Intermediate
,,Intermediate
,,Intermediate
,,Beginner
,,Advanced
,,Intermediate
,,Intermediate
,,Beginner
,,Advanced
,,Beginner
,,Beginner
,,Advanced
,,Advanced
,,Advanced
,,Beginner
,,Beginner
,,Intermediate
,,Beginner
,,Beginner
,,Intermediate
,,Advanced
,,Intermediate
,,Beginner
,,Advanced
,,Intermediate
,,Beginner
,,Intermediate
,,Intermediate
,,Intermediate
,,Advanced
,,Advanced
,,Beginner
,,Intermediate
,,Advanced
,,Intermediate
,,Advanced
,,Intermediate
,,Beginner
,,Beginner
,,Beginner
,,Advanced
,,Intermediate
,,Intermediate
,,Intermediate
,,Advanced
,,Advanced
,,Advanced
,,Intermediate
,,Intermediate
,,Advanced
,,Advanced
,,Intermediate
,,Advanced
,,Beginner
,,Beginner
,,Intermediate
,,Beginner
,,Beginner
,,Advanced
,,Intermediate
,,Beginner
,,Intermediate
,,Beginner
,,Intermediate
,,Advanced
,,Beginner
,,Beginner
,,Intermediate
,,Beginner
,,Beginner
,,Beginner
,,Intermediate
,,Intermediate
,,Beginner
,,Beginner
,,Intermediate
,,Advanced
,,Advanced
,,Advanced
,,Advanced
,,Beginner
,,Intermediate
,,Advanced
,,Intermediate
,,Beginner
,,Intermediate
,,Advanced
,,Advanced
,,Advanced
,,Beginner
,,Intermediate
,,Intermediate
,,Intermediate
,,Intermediate
,,Advanced
,,Intermediate
,,Advanced
,,Beginner
,,Advanced
,,Advanced
,,Intermediate
,,Intermediate
,,Beginner
,,Intermediate
,,Beginner
,,Intermediate
,,Intermediate
,,Advanced
,,Advanced
,,Beginner
,,Beginner
,,Beginner
,,Advanced
,,Intermediate
,,Advanced
,,Beginner
,,Intermediate
,,Intermediate
,,Intermediate
,,Beginner
,,Advanced
,,Advanced
,,Intermediate
,,Beginner
,,Advanced
,,Intermediate
,,Advanced
,,Beginner
,,Intermediate
,,Beginner
,,Beginner
,,Beginner
,,Intermediate
,,Beginner
,,Beginner
,,Beginner
,,Intermediate
,,Intermediate
,,Beginner
,,Beginner
,,Intermediate
,,Intermediate
,,Beginner
,,Advanced
,,Beginner
,,Beginner
,,Beginner
,,Intermediate
,,Intermediate
,,Beginner
,,Advanced
,,Intermediate
,,Advanced
,,Intermediate
,,Intermediate
,,Intermediate
,,Beginner
,,Intermediate
,,Intermediate
,,Advanced
,,Advanced
,,Advanced
,,Intermediate
,,Intermediate
,,Beginner
,,Advanced
,,Intermediate
,,Beginner
,,Intermediate
,,Intermediate
,,Intermediate
,,Beginner
,,Intermediate
,,Beginner
,,Intermediate
,,Beginner
,,Advanced
,,Advanced
,,Advanced
,,Beginner
,,Advanced
,,Advanced
,,Advanced
,,Beginner
,,Intermediate
,,Beginner
,,Intermediate
,,Intermediate
,,Intermediate
,,Advanced
,,Advanced
,,Advanced
,,Intermediate
,,Beginner
,,Advanced
,,Beginner
,,Intermediate
,,Beginner
,,Advanced
,,Beginner
,,Beginner
,,Intermediate
,,Beginner
,,Advanced
,,Intermediate
,,Beginner
,,Beginner
,,Beginner
,,Intermediate
,,Intermediate
,,Beginner
,,Advanced
,,Intermediate
,,Intermediate
,,Advanced
,,Intermediate
,,Intermediate
,,Beginner
,,Beginner
,,Beginner
,,Intermediate
,,Advanced
,,Beginner
,,Advanced
,,Beginner
,,Advanced
,,Intermediate
,,Advanced
,,Beginner
,,Advanced
,,Advanced
,,Advanced
,,Advanced
,,Advanced
,,Intermediate
,,Beginner
,,Beginner
,,Advanced
,,Beginner
,,Beginner
,,Advanced
,,Advanced
,,Beginner
,,Intermediate
,,Advanced
,,Beginner
,,Advanced
,,Beginner
,,Intermediate
,,Advanced
,,Intermediate
,,Beginner
,,Beginner
,,Beginner
,,Advanced
,,Intermediate
,,Advanced
,,Intermediate
,,Advanced
,,Beginner
,,Intermediate
,,Beginner
,,Intermediate
,,Advanced
,,Beginner
,,Beginner
,,Intermediate
,,Advanced
,,Intermediate
,,Beginner
,,Advanced
,,Advanced
